City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Albany,42.6001,-73.9662,53.37,47,5,1.01,US,clear sky
1,Olafsvik,64.8945,-23.7142,42.4,74,89,14.2,IS,overcast clouds
2,Matara,5.9485,80.5353,76.24,87,100,1.9,LK,moderate rain
3,Ushuaia,-54.8,-68.3,58.66,55,75,14.97,AR,broken clouds
4,Avarua,-21.2078,-159.775,77.05,65,75,8.05,CK,broken clouds
5,Vaini,-21.2,-175.2,80.76,74,20,6.91,TO,few clouds
6,Samarai,-10.6167,150.6667,84.15,69,33,7.7,PG,scattered clouds
7,Carnarvon,-24.8667,113.6333,69.44,58,0,13.94,AU,clear sky
8,Bailen,38.0964,-3.7779,58.48,50,6,1.61,ES,clear sky
9,Kapaa,22.0752,-159.319,84.18,72,20,13.8,US,few clouds
10,La Romana,18.4273,-68.9728,77.36,100,75,0.0,DO,broken clouds
11,Rikitea,-23.1203,-134.9692,73.65,92,100,18.95,PF,light rain
12,Hilo,19.7297,-155.09,82.13,74,40,9.22,US,scattered clouds
13,Leshukonskoye,64.8989,45.7622,34.95,99,100,5.46,RU,overcast clouds
14,Butaritari,3.0707,172.7902,80.37,75,29,6.4,KI,scattered clouds
15,Nanortalik,60.1432,-45.2371,28.29,87,100,3.44,GL,overcast clouds
16,Necochea,-38.5473,-58.7368,64.85,41,0,18.16,AR,clear sky
17,Sur,22.5667,59.5289,81.07,60,96,8.46,OM,overcast clouds
18,Copiapo,-27.3667,-70.3333,55.09,65,96,2.98,CL,overcast clouds
19,Chokurdakh,70.6333,147.9167,-11.76,96,63,11.39,RU,broken clouds
20,Saint George,37.1041,-113.5841,67.95,35,0,14.97,US,clear sky
21,Kolokani,13.5728,-8.0339,73.74,23,37,8.59,ML,scattered clouds
22,Port Elizabeth,-33.918,25.5701,62.31,88,0,16.11,ZA,clear sky
23,Bluff,-46.6,168.3333,65.8,67,87,6.85,NZ,overcast clouds
24,Jamestown,42.097,-79.2353,49.59,63,0,8.05,US,clear sky
25,West Wendover,40.7391,-114.0733,43.81,57,75,8.05,US,broken clouds
26,Puerto Ayora,-0.7393,-90.3518,67.55,85,91,4.0,EC,overcast clouds
27,Hithadhoo,-0.6,73.0833,81.95,76,13,18.81,MV,few clouds
28,Kununurra,-15.7667,128.7333,94.98,41,50,8.05,AU,scattered clouds
29,Flinders,-34.5833,150.8552,70.25,59,51,8.66,AU,broken clouds
30,Doha,25.2867,51.5333,84.09,76,0,6.91,QA,clear sky
31,Broken Hill,-31.95,141.4333,76.51,34,99,8.01,AU,overcast clouds
32,Mataura,-46.1927,168.8643,65.48,38,71,3.87,NZ,broken clouds
33,Hovd,48.0056,91.6419,34.59,45,99,9.8,MN,overcast clouds
34,Henties Bay,-22.116,14.2845,61.38,90,2,4.25,NA,clear sky
35,Hermanus,-34.4187,19.2345,59.72,87,40,7.14,ZA,scattered clouds
36,Busselton,-33.65,115.3333,63.25,65,97,9.8,AU,overcast clouds
37,Bad Bevensen,53.0833,10.5833,55.6,83,82,9.66,DE,broken clouds
38,Tautira,-17.7333,-149.15,76.42,84,26,13.15,PF,scattered clouds
39,Soria,41.6667,-2.6667,47.86,100,60,3.94,ES,broken clouds
40,Marzuq,14.4,46.4667,64.98,70,0,3.94,YE,clear sky
41,Grindavik,63.8424,-22.4338,42.75,87,75,16.11,IS,broken clouds
42,Toora-Khem,52.4675,96.11,22.51,98,100,1.19,RU,overcast clouds
43,Nouadhibou,20.931,-17.0347,67.98,77,6,8.05,MR,clear sky
44,Bardiyah,31.7561,25.0865,67.37,69,31,13.42,LY,scattered clouds
45,Geraldton,-28.7667,114.6,66.61,72,75,13.8,AU,broken clouds
46,Benghazi,32.1167,20.0667,69.94,68,10,12.8,LY,clear sky
47,Bredasdorp,-34.5322,20.0403,56.57,92,88,5.82,ZA,overcast clouds
48,Iqaluit,63.7506,-68.5145,19.13,57,75,15.01,CA,broken clouds
49,Cape Town,-33.9258,18.4232,61.12,86,100,2.3,ZA,overcast clouds
50,Paamiut,61.994,-49.6678,17.46,59,100,7.25,GL,overcast clouds
51,Carutapera,-1.195,-46.02,76.66,89,91,7.07,BR,overcast clouds
52,San Quintin,30.4833,-115.95,64.65,83,0,11.63,MX,clear sky
53,Barrow,71.2906,-156.7887,24.82,80,100,23.02,US,overcast clouds
54,Narsaq,60.9167,-46.05,32.22,77,100,6.62,GL,overcast clouds
55,Anchorage,61.2181,-149.9003,22.55,71,100,4.61,US,overcast clouds
56,Verkh-Usugli,52.7,115.1667,20.98,84,100,2.68,RU,overcast clouds
57,Brae,60.3964,-1.353,52.41,96,100,21.45,GB,light rain
58,Sungaipenuh,-2.0833,101.3833,68.29,88,100,0.89,ID,overcast clouds
59,Urucara,-2.5364,-57.76,73.11,95,81,0.81,BR,broken clouds
60,Baruun-Urt,46.6806,113.2792,30.42,38,49,11.68,MN,scattered clouds
61,Castro,-24.7911,-50.0119,51.1,90,7,5.7,BR,clear sky
62,Bor,56.3567,44.0669,33.73,97,100,8.05,RU,overcast clouds
63,Swan Hill,-35.3378,143.5544,73.99,51,2,5.99,AU,clear sky
64,Lompoc,34.6391,-120.4579,60.53,78,40,9.22,US,scattered clouds
65,Nemuro,43.3236,145.575,48.25,61,89,5.28,JP,overcast clouds
66,Norman Wells,65.282,-126.8329,3.24,85,20,9.22,CA,few clouds
67,Catalina Foothills,32.2979,-110.9187,79.09,21,0,5.75,US,clear sky
68,Uyemskiy,64.4743,40.8524,39.25,100,100,4.47,RU,overcast clouds
69,Andenes,69.3143,16.1194,40.98,70,40,17.27,NO,light intensity drizzle
70,Burnie,-41.0667,145.9167,68.94,56,7,4.74,AU,clear sky
71,Novo Aripuana,-5.1206,-60.3797,74.62,95,99,3.24,BR,moderate rain
72,Meulaboh,4.1363,96.1285,77.95,85,79,1.88,ID,broken clouds
73,Ballina,-28.8667,153.5667,64.02,98,99,5.01,AU,light rain
74,Dikson,73.5069,80.5464,5.56,95,100,7.94,RU,overcast clouds
