City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Bluff,NZ,65.8,-46.6,168.3333,
1,Ushuaia,AR,47.86,-54.8,-68.3,
4,Vila,PT,47.28,42.0304,-8.1588,
7,Albany,US,68.72,42.6001,-73.9662,
9,Hermanus,ZA,62.8,-34.4187,19.2345,
10,Rikitea,PF,72.07,-23.1203,-134.9692,
11,Namibe,AO,67.95,-15.1961,12.1522,
12,New Norfolk,AU,71.91,-42.7826,147.0587,
13,Wisconsin Rapids,US,48.49,44.3836,-89.8174,
14,Juba,SS,70.95,4.8517,31.5825,
15,Butaritari,KI,79.56,3.0707,172.7902,
16,Mahina,PF,74.97,-17.5065,-149.489,
17,Mar Del Plata,AR,63.09,-38.0023,-57.5575,
18,Hilo,US,78.53,19.7297,-155.09,
20,Puerto Ayora,EC,66.54,-0.7393,-90.3518,
22,Ponta Do Sol,PT,67.71,32.6667,-17.1,
23,San Quintin,MX,63.43,30.4833,-115.95,
24,Busselton,AU,68.67,-33.65,115.3333,
25,Mayo,US,72.01,38.8876,-76.5119,
27,Logan,US,42.48,41.7355,-111.8344,
28,Los Llanos De Aridane,ES,67.75,28.6585,-17.9182,
29,Sangmelima,CM,66.81,2.9333,11.9833,
30,Winslow,US,53.78,35.0242,-110.6974,
33,Mount Gambier,AU,76.14,-37.8333,140.7667,
34,Saint Anthony,US,42.42,45.0205,-93.218,
35,Bengkulu,ID,79.86,-3.8004,102.2655,
37,Tulsipur,NP,64.38,28.131,82.2973,
38,Cabo San Lucas,MX,74.52,22.8909,-109.9124,
40,Lawrence,US,55.78,38.9717,-95.2353,
41,Resistencia,AR,69.85,-27.4606,-58.9839,
43,Castro,BR,47.82,-24.7911,-50.0119,
44,Chapada Dos Guimaraes,BR,67.66,-15.4606,-55.7497,
46,Coihaique,CL,52.41,-45.5752,-72.0662,
47,Shu,KZ,46.15,43.5983,73.7614,
49,Roald,NO,46.76,62.5833,6.1333,
50,Saint George,US,62.94,37.1041,-113.5841,
51,Goya,AR,70.75,-29.14,-59.2626,
52,Sinnamary,GF,77.79,5.3833,-52.95,
53,Adrar,MR,74.7,20.5022,-10.0711,
55,Shingu,JP,64.9,33.7333,135.9833,
56,Cockburn Town,TC,75.22,21.4612,-71.1419,
57,East London,ZA,66.67,-33.0153,27.9116,
58,Nikolskoye,RU,40.89,59.7035,30.7861,
63,Ahipara,NZ,65.3,-35.1667,173.1667,
64,Moerai,PF,73.33,-22.4333,-151.3333,
65,Avarua,CK,78.85,-21.2078,-159.775,
68,Punta Arenas,CL,55.51,-53.15,-70.9167,
69,Baracoa,CU,74.64,20.3467,-74.4958,
70,Besancon,FR,52.2,47.2488,6.0182,
71,Caidian,CN,64.53,30.5833,114.0333,
72,Hambantota,LK,75.54,6.1241,81.1185,
73,Mataura,NZ,65.48,-46.1927,168.8643,
74,Port Elizabeth,ZA,65.1,-33.918,25.5701,
75,Lebu,CL,51.17,-37.6167,-73.65,
