City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-07-14 20:05:03,-33.9258,18.4232,60.39,83,16,4.0
1,Mataura,NZ,2022-07-14 20:08:37,-46.1927,168.8643,37.47,99,100,2.91
2,East London,ZA,2022-07-14 20:08:37,-33.0153,27.9116,60.13,68,1,13.53
3,Ilulissat,GL,2022-07-14 20:08:37,69.2167,-51.1,46.99,51,8,7.58
4,Walvis Bay,NA,2022-07-14 20:08:38,-22.9575,14.5053,56.08,57,0,8.93
5,Nanortalik,GL,2022-07-14 20:08:38,60.1432,-45.2371,47.88,75,100,5.39
6,Rikitea,PF,2022-07-14 20:08:38,-23.1203,-134.9692,66.4,82,100,11.18
7,Carnarvon,AU,2022-07-14 20:08:39,-24.8667,113.6333,66.69,81,42,10.83
8,Jamestown,US,2022-07-14 20:08:39,42.097,-79.2353,78.03,48,0,6.91
9,High Prairie,CA,2022-07-14 20:06:59,55.4334,-116.4858,69.42,46,100,9.93
10,Bilibino,RU,2022-07-14 20:04:31,68.0546,166.4372,50.56,57,6,2.98
11,Georgetown,MY,2022-07-14 20:08:40,5.4112,100.3354,80.53,88,20,0.0
12,Goundam,ML,2022-07-14 20:08:40,16.4145,-3.6708,93.54,37,15,9.86
13,Chokurdakh,RU,2022-07-14 20:08:40,70.6333,147.9167,52.65,57,81,5.66
14,Bluff,NZ,2022-07-14 20:08:41,-46.6,168.3333,37.8,87,100,14.5
15,Leningradskiy,RU,2022-07-14 20:08:41,69.3833,178.4167,36.25,74,7,11.54
16,Thompson,CA,2022-07-14 20:08:41,55.7435,-97.8558,74.14,74,100,5.77
17,Puerto Ayora,EC,2022-07-14 20:08:42,-0.7393,-90.3518,76.96,88,68,8.99
18,Torbay,CA,2022-07-14 20:08:42,47.6666,-52.7314,65.88,77,64,5.99
19,Busselton,AU,2022-07-14 20:08:42,-33.65,115.3333,59.5,74,78,15.08
20,Saint-Philippe,RE,2022-07-14 20:08:43,-21.3585,55.7679,66.22,81,79,9.48
21,Hithadhoo,MV,2022-07-14 20:08:43,-0.6,73.0833,83.44,74,100,13.87
22,Gorgan,IR,2022-07-14 20:08:43,36.8387,54.4348,82.15,52,0,3.15
23,Lorengau,PG,2022-07-14 20:08:44,-2.0226,147.2712,80.01,79,100,3.53
24,Sao Filipe,CV,2022-07-14 20:08:44,14.8961,-24.4956,75.78,75,8,13.15
25,Mount Vernon,US,2022-07-14 20:07:15,40.9126,-73.8371,91.04,49,75,5.01
26,Tiksi,RU,2022-07-14 20:08:45,71.6872,128.8694,49.98,82,100,4.09
27,Carutapera,BR,2022-07-14 20:08:45,-1.195,-46.02,80.35,82,45,9.22
28,Tasiilaq,GL,2022-07-14 20:08:45,65.6145,-37.6368,50.16,70,100,5.79
29,Lebu,CL,2022-07-14 20:08:46,-37.6167,-73.65,44.02,84,100,5.61
30,Sao Joao Do Paraiso,BR,2022-07-14 20:08:46,-15.3136,-42.0144,71.24,56,87,7.52
31,Vieques,PR,2022-07-14 20:08:46,18.425,-65.8329,87.82,66,75,19.57
32,Ushuaia,AR,2022-07-14 20:05:53,-54.8,-68.3,33.42,80,0,2.3
33,Pitimbu,BR,2022-07-14 20:08:47,-7.4706,-34.8086,79.39,77,5,13.94
34,Awjilah,LY,2022-07-14 20:08:47,29.1081,21.2869,80.44,38,0,19.04
35,Souillac,MU,2022-07-14 20:08:47,-20.5167,57.5167,69.3,78,13,14.67
36,Pevek,RU,2022-07-14 20:08:48,69.7008,170.3133,34.32,84,5,12.41
37,Tuatapere,NZ,2022-07-14 20:08:48,-46.1333,167.6833,40.78,95,100,3.29
38,Avarua,CK,2022-07-14 20:08:49,-21.2078,-159.775,75.25,60,100,12.66
39,Codrington,AU,2022-07-14 20:08:49,-38.2667,141.9667,43.12,98,41,9.19
40,Sitka,US,2022-07-14 20:08:49,57.0531,-135.33,62.49,55,75,12.66
41,Bambous Virieux,MU,2022-07-14 20:08:50,-20.3428,57.7575,70.21,74,65,15.5
42,Synya,RU,2022-07-14 20:08:50,65.3718,58.0387,68.43,73,62,6.38
43,Ponta Do Sol,PT,2022-07-14 20:08:50,32.6667,-17.1,75.0,72,35,7.2
44,Tuktoyaktuk,CA,2022-07-14 20:08:51,69.4541,-133.0374,36.82,83,100,24.02
45,Hilo,US,2022-07-14 20:09:51,19.7297,-155.09,85.28,72,75,6.91
46,Jaisalmer,IN,2022-07-14 20:09:51,26.9147,70.9181,86.67,65,95,7.76
